group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1304,25935.92,1,0.2048120200634002,[0.0065747471526265144],[-0.2381555140018463],[0.15034405280823826],[-0.2505405255731965],[0.02289248103948158],[-0.06529734413006766],0.1391692012548446,2.519974946975708,3.285353422164917,False,False
1304,25937.08,1,0.2048120200634002,[0.0065747471526265144],[-0.2381555140018463],[0.15034405280823826],[-0.2505405255731965],[0.02289248103948158],[-0.06529734413006766],0.1269921958446502,2.223247766494751,2.1229751110076904,False,False
1304,25938.97,0,0.104148544371128,[-0.047351885586977005],[-0.3099467158317566],[-0.2509026489963939],[-0.343914988529851],[-0.012863028907385061],[0.010789713136016222],0.1515191048383712,1.9665615558624268,1.8916770219802856,False,False
1305,26048.52,0,0.2024235427379608,[0.048859283328056335],[0.15893003344535828],[0.2647565564873888],[0.41994856843246886],[-0.029365916370984804],[-0.06732493196430321],0.0023678764700889,2.3701303005218506,118.72482299804688,False,False
1305,26052.03,0,0.2271734625101089,[0.0544063001871109],[0.13035140931606293],[0.08982255727897759],[0.29233704154884554],[0.005716227638186737],[-0.029485542633887155],-0.1122114211320877,2.285841464996338,2.1877245903015137,False,False
1305,26057.76,0,0.186252936720848,[-0.06182924658060074],[-0.10631264746189117],[-0.15981730402741734],[-0.2983562024906041],[-0.056076993487925095],[-0.027754514664327587],0.1067341044545173,1.786024808883667,1.7987408638000488,False,False
1306,26119.22,1,0.299135148525238,[1.3438117504119873],[-0.3363416790962219],[1.4495647809427115],[-0.3808307071081689],[-0.08147655675993029],[0.02726854750069198],0.1200796961784362,5.392534732818604,5.417725563049316,True,False
1306,26130.17,0,0.324045330286026,[0.14657120406627655],[0.303295761346817],[0.16965952866593614],[0.31060415498217475],[0.005219313221816905],[0.001439584289490818],0.0184717215597629,4.583037853240967,4.9835524559021,True,False
1306,26135.27,0,0.3767062127590179,[-0.036072179675102234],[0.2951006591320038],[-0.025726734028636233],[0.30535174140238186],[-0.03692267561948689],[0.0008444904711558121],-0.1095106676220893,4.284428119659424,5.251673221588135,True,False
1307,26215.95,1,0.2139216810464859,[0.318638414144516],[-0.14331373572349548],[0.3251859039509455],[-0.14195738395943103],[-0.01192958858250816],[0.010423725569236708],0.0202638134360313,2.9949872493743896,3.8129537105560303,True,False
1307,26219.82,1,0.3076612055301666,[0.10788697004318237],[0.2939920127391815],[0.10688295628015165],[0.3101548129871492],[-0.05566430992203667],[-0.0026261608641223004],0.0896593332290649,2.8986976146698,2.791256666183472,True,False
1307,26223.74,1,0.1891506314277649,[-0.29666462540626526],[0.21548090875148773],[-0.47184563901826504],[0.22389671738010303],[-0.06662787812930011],[-0.03779538400767772],0.1317371428012848,2.299999952316284,2.299999952316284,True,False
1308,26280.54,0,0.170450821518898,[0.15641793608665466],[-0.19874104857444763],[0.22343120074925693],[-0.28545383190351536],[-0.02822468355917649],[-0.007243325727527422],-0.0536821819841861,2.051409721374512,118.7335205078125,False,False
